encounter1,encounter2,identity1,identity2,image_id1,image_id2,matching_part,matcher,similarity,similarity_orig
328755818,328755846,328755818,328755846,328755818_595796046_1be13098007ca97e,328755846_595797438_01cfd708e20abb5d,heads,superpoint,1.0,86.0
330477158,335935570,330477158,335935570,330477158_599274435_24fb3673a2c620d0,335935570_610375062_49b5cb38cecdcd94,heads,disk,1.0,95.0
321595639,321595644,321595639,321595644,321595639_581630651_502e9360c27211ea,321595644_581630683_fddd0d357e935060,heads,aliked,1.0,94.0
328755818,328755846,328755818,328755846,328755818_595796046_1be13098007ca97e,328755846_595797429_857a293f0f85b1ae,heads,superpoint,1.0,86.0
328755846,330477162,328755846,330477162,328755846_595797438_01cfd708e20abb5d,330477162_599274747_f326978a51046df2,heads,aliked,0.9787234042553191,92.0
328755846,330477162,328755846,330477162,328755846_595797429_857a293f0f85b1ae,330477162_599274747_f326978a51046df2,heads,superpoint,0.9767441860465116,84.0
330477158,335935570,330477158,335935570,330477158_599274435_24fb3673a2c620d0,335935570_610375073_8b7ceed0faa3652c,heads,disk,0.968421052631579,92.0
335935575,337524315,335935575,337524315,335935575_610375234_3aff645c75f8db0a,337524315_613596099_0c644d04364b2bc2,heads,aliked,0.9680851063829787,91.0
328755818,330477162,328755818,330477162,328755818_595796046_1be13098007ca97e,330477162_599274747_f326978a51046df2,heads,aliked,0.9680851063829787,91.0
335332240,335935552,335332240,335935552,335332240_609158693_34ddf5cb5f5097eb,335935552_610374895_130c46770821e2b5,heads,aliked,0.9574468085106383,90.0
335332234,335935570,335332234,335935570,335332234_609158533_eeefe51184dc1259,335935570_610375073_8b7ceed0faa3652c,heads,disk,0.9473684210526315,90.0
335935575,337524315,335935575,337524315,335935575_610375234_3aff645c75f8db0a,337524315_613596096_926c5b21816af0fa,heads,aliked,0.9361702127659575,88.0
335935552,335935581,335935552,335935581,335935552_610374867_70a31976690e67d2,335935581_610375390_eedfff3b7ddd51cb,heads,superpoint,0.9302325581395349,80.0
325746516,328448933,325746516,328448933,325746516_589836058_d1be8283e5c44590,328448933_595171163_b3c644cf1f83705d,heads,aliked,0.925531914893617,87.0
328448946,328755818,328448946,328755818,328448946_595171248_4050e61ddd2d6975,328755818_595795671_3789d719f863ac61,heads,disk,0.9157894736842105,87.0
326931769,326931796,326931769,326931796,326931769_592202851_76ef3b1a89cf45a2,326931796_592203035_6eab297a6e9c6787,heads,disk,0.9157894736842105,87.0
326931769,335935581,326931769,335935581,326931769_592202851_76ef3b1a89cf45a2,335935581_610375390_eedfff3b7ddd51cb,heads,superpoint,0.9069767441860465,78.0
328755818,330477162,328755818,330477162,328755818_595795414_53e6c27088017b5d,330477162_599274747_f326978a51046df2,heads,aliked,0.9042553191489362,85.0
326931783,326931785,326931783,326931785,326931783_592202939_64ab4ef45929efdb,326931785_592202951_3fe208a637f2ed54,heads,aliked,0.8936170212765957,84.0
326931785,328448961,326931785,328448961,326931785_592202951_3fe208a637f2ed54,328448961_595171349_9ea8d24d843423ae,heads,aliked,0.8723404255319149,82.0
326931783,328448961,326931783,328448961,326931783_592202939_64ab4ef45929efdb,328448961_595171345_cbfd92558a386ad8,heads,aliked,0.8723404255319149,82.0
337429973,337524314,337429973,337524314,337429973_613396055_24fc13b032a35196,337524314_613596085_40954dd5d1d59174,heads,disk,0.8631578947368421,82.0
321595649,337524309,321595649,337524309,321595649_581630750_6e40ee1d8dc8901f,337524309_613596051_b449c0af446056d9,heads,disk,0.8631578947368421,82.0
335332240,335935552,335332240,335935552,335332240_609158693_34ddf5cb5f5097eb,335935552_610374867_70a31976690e67d2,heads,aliked,0.8617021276595744,81.0
326931769,328448933,326931769,328448933,326931769_592202851_76ef3b1a89cf45a2,328448933_595171163_b3c644cf1f83705d,heads,aliked,0.8617021276595744,81.0
337524309,337524319,337524309,337524319,337524309_613596043_2b693036e53aa104,337524319_613596140_2c7b1b264ca14633,heads,superpoint,0.8604651162790697,74.0
335935552,335935581,335935552,335935581,335935552_610374895_130c46770821e2b5,335935581_610375390_eedfff3b7ddd51cb,heads,aliked,0.851063829787234,80.0
330477158,335332234,330477158,335332234,330477158_599275705_8cc1d56b71a56a25,335332234_609158533_eeefe51184dc1259,heads,disk,0.8421052631578947,80.0
328448933,335935552,328448933,335935552,328448933_595171163_b3c644cf1f83705d,335935552_610374895_130c46770821e2b5,heads,aliked,0.8404255319148937,79.0
328755835,330477141,328755835,330477141,328755835_595796664_4159076bec12514a,330477141_599272270_aca2009122249632,heads,aliked,0.8404255319148937,79.0
335332237,337429973,335332237,337429973,335332237_609158646_f6a1bf22ecafe084,337429973_613396055_24fc13b032a35196,heads,superpoint,0.8372093023255814,72.0
335332240,335935581,335332240,335935581,335332240_609158693_34ddf5cb5f5097eb,335935581_610375390_eedfff3b7ddd51cb,heads,aliked,0.8297872340425532,78.0
328448946,330430787,328448946,330430787,328448946_595171250_b9c4d7ba6a267c1a,330430787_599181165_0e5e12c74733d1c2,heads,superpoint,0.8255813953488372,71.0
335935577,337524310,335935577,337524310,335935577_610375341_a826dc3afe4fe33e,337524310_613596059_e7a7c48d66bae94a,heads,disk,0.8210526315789474,78.0
328448946,330430787,328448946,330430787,328448946_595171248_4050e61ddd2d6975,330430787_599181165_0e5e12c74733d1c2,heads,superpoint,0.813953488372093,70.0
337524309,337524319,337524309,337524319,337524309_613596042_1eae938f77f1c6c7,337524319_613596140_2c7b1b264ca14633,heads,superpoint,0.813953488372093,70.0
328448933,335332240,328448933,335332240,328448933_595171163_b3c644cf1f83705d,335332240_609158693_34ddf5cb5f5097eb,heads,aliked,0.8085106382978723,76.0
337429974,337524314,337429974,337524314,337429974_613396064_b4ca144bdeda8944,337524314_613596079_6ed821d99cf339f3,heads,aliked,0.8085106382978723,76.0
328755818,330430787,328755818,330430787,328755818_595795671_3789d719f863ac61,330430787_599181165_0e5e12c74733d1c2,heads,aliked,0.8085106382978723,76.0
335332237,337524314,335332237,337524314,335332237_609158658_26645d52306cbfca,337524314_613596085_40954dd5d1d59174,heads,aliked,0.8085106382978723,76.0
337429973,337524314,337429973,337524314,337429973_613396055_24fc13b032a35196,337524314_613596079_6ed821d99cf339f3,heads,superpoint,0.8023255813953488,69.0
326931785,328448961,326931785,328448961,326931785_592202951_3fe208a637f2ed54,328448961_595171345_cbfd92558a386ad8,heads,aliked,0.7978723404255319,75.0
337429974,337524314,337429974,337524314,337429974_613396064_b4ca144bdeda8944,337524314_613596080_cf276fcc9ef77a8a,heads,aliked,0.7872340425531915,74.0
321595639,334475550,321595639,334475550,321595639_581630651_502e9360c27211ea,334475550_607416625_1c2d061c95599b41,heads,aliked,0.7872340425531915,74.0
321559873,337524309,321559873,337524309,321559873_581562729_aab4244044730838,337524309_613596043_2b693036e53aa104,heads,superpoint,0.7790697674418605,67.0
328448947,328755818,328448947,328755818,328448947_595171249_e3a348a1c4c6207a,328755818_595796046_1be13098007ca97e,heads,superpoint,0.7790697674418605,67.0
330477163,335332232,330477163,335332232,330477163_599274959_b129a77a798dbcb2,335332232_609158478_f76ff5cc19f18221,heads,disk,0.7789473684210526,74.0
326931792,328448954,326931792,328448954,326931792_592203012_98abcad1efd04388,328448954_595171301_2cbb197eed23061a,heads,disk,0.7789473684210526,74.0
322750920,335935552,322750920,335935552,322750920_583917935_9852f02dfbe504b1,335935552_610374877_27217d4f72e8f956,heads,aliked,0.776595744680851,73.0
335332234,335935570,335332234,335935570,335332234_609158533_eeefe51184dc1259,335935570_610375062_49b5cb38cecdcd94,heads,disk,0.7684210526315789,73.0
335332229,337524310,335332229,337524310,335332229_609158352_cd81615f29017b14,337524310_613596059_e7a7c48d66bae94a,heads,superpoint,0.7674418604651163,66.0
335935561,337429970,335935561,337429970,335935561_610374930_6af4932234a4ebd4,337429970_613395993_389beb510013d720,heads,disk,0.7578947368421053,72.0
321595649,337524309,321595649,337524309,321595649_581630750_6e40ee1d8dc8901f,337524309_613596053_a1f2d869d89c454f,heads,disk,0.7578947368421053,72.0
330477144,335935552,330477144,335935552,330477144_599272913_c8347bb292043600,335935552_610374867_70a31976690e67d2,heads,superpoint,0.7558139534883721,65.0
335332237,337524314,335332237,337524314,335332237_609158671_7c686de5789c578d,337524314_613596085_40954dd5d1d59174,heads,superpoint,0.7558139534883721,65.0
325746516,328448933,325746516,328448933,325746516_589836240_c810eaa2e5364b84,328448933_595171163_b3c644cf1f83705d,heads,aliked,0.7553191489361702,71.0
321595649,335935569,321595649,335935569,321595649_581630750_6e40ee1d8dc8901f,335935569_610375052_1034eecf593d16ca,heads,disk,0.7473684210526316,71.0
325746516,326931769,325746516,326931769,325746516_589836058_d1be8283e5c44590,326931769_592202851_76ef3b1a89cf45a2,heads,aliked,0.7446808510638298,70.0
325746507,326931778,325746507,326931778,325746507_589833952_dabfedc029d2bac8,326931778_592202912_485835debff38568,heads,superpoint,0.7441860465116279,64.0
337429974,337524315,337429974,337524315,337429974_613396071_032530f4b3567244,337524315_613596096_926c5b21816af0fa,heads,aliked,0.7340425531914894,69.0
335332240,335935581,335332240,335935581,335332240_609158701_00d124baddfc18df,335935581_610375390_eedfff3b7ddd51cb,heads,aliked,0.7340425531914894,69.0
328448953,328755868,328448953,328755868,328448953_595171300_099475ba2e6d3b30,328755868_595797552_0cc369f2b41f2cda,heads,aliked,0.7340425531914894,69.0
326931771,328448947,326931771,328448947,326931771_592202862_ae3b51a0f8c8380a,328448947_595171249_e3a348a1c4c6207a,heads,aliked,0.723404255319149,68.0
321595644,334475550,321595644,334475550,321595644_581630683_fddd0d357e935060,334475550_607416615_10aa51d21c2a267a,heads,aliked,0.723404255319149,68.0
325746516,335935552,325746516,335935552,325746516_589836058_d1be8283e5c44590,335935552_610374895_130c46770821e2b5,heads,aliked,0.723404255319149,68.0
326931769,335935552,326931769,335935552,326931769_592202851_76ef3b1a89cf45a2,335935552_610374895_130c46770821e2b5,heads,superpoint,0.7209302325581395,62.0
335332237,337429973,335332237,337429973,335332237_609158658_26645d52306cbfca,337429973_613396055_24fc13b032a35196,heads,superpoint,0.7209302325581395,62.0
333572360,335935579,333572360,335935579,333572360_605624787_9f03a7210a34d3ec,335935579_610375359_2f7ab73678a964b0,heads,disk,0.7157894736842105,68.0
328448954,330461633,328448954,330461633,328448954_595171301_2cbb197eed23061a,330461633_599243565_a7064068bb980674,heads,aliked,0.7127659574468085,67.0
328448953,330477174,328448953,330477174,328448953_595171300_099475ba2e6d3b30,330477174_599275451_c986d6cba98b5546,heads,aliked,0.7127659574468085,67.0
325746516,326931769,325746516,326931769,325746516_589836240_c810eaa2e5364b84,326931769_592202851_76ef3b1a89cf45a2,heads,aliked,0.7127659574468085,67.0
325746516,335935552,325746516,335935552,325746516_589836240_c810eaa2e5364b84,335935552_610374895_130c46770821e2b5,heads,aliked,0.7127659574468085,67.0
335935577,337524310,335935577,337524310,335935577_610375344_db04dab6bb8727a3,337524310_613596059_e7a7c48d66bae94a,heads,superpoint,0.7093023255813954,61.0
326931783,328448961,326931783,328448961,326931783_592202939_64ab4ef45929efdb,328448961_595171349_9ea8d24d843423ae,heads,superpoint,0.7093023255813954,61.0
328448946,328755818,328448946,328755818,328448946_595171248_4050e61ddd2d6975,328755818_595795426_7e577507adb8cfad,heads,superpoint,0.7093023255813954,61.0
326931774,330477166,326931774,330477166,326931774_592202891_4067b0b1318790f8,330477166_599274942_4424a76adf1b9c69,heads,aliked,0.7021276595744681,66.0
330477144,335935581,330477144,335935581,330477144_599272817_ea1426c0d906817c,335935581_610375390_eedfff3b7ddd51cb,heads,aliked,0.7021276595744681,66.0
327367335,333582437,327367335,333582437,327367335_593070763_24d80778ddc042ce,333582437_605647574_6b874bde69567408,heads,superpoint,0.6976744186046512,60.0
337429962,337524316,337429962,337524316,337429962_613395847_45ab98a4927595dc,337524316_613596117_b7827389f071ad63,heads,superpoint,0.6976744186046512,60.0
328448953,328755868,328448953,328755868,328448953_595171293_1035ab437372f91a,328755868_595797552_0cc369f2b41f2cda,heads,superpoint,0.6976744186046512,60.0
321559873,330430069,321559873,330430069,321559873_581562729_aab4244044730838,330430069_599179351_202e55b89849081f,heads,disk,0.6947368421052632,66.0
337429973,337429974,337429973,337429974,337429973_613396055_24fc13b032a35196,337429974_613396064_b4ca144bdeda8944,heads,disk,0.6947368421052632,66.0
330477155,330477166,330477155,330477166,330477155_599274154_7dd7089b53878333,330477166_599274942_4424a76adf1b9c69,heads,aliked,0.6914893617021277,65.0
335935575,337524314,335935575,337524314,335935575_610375224_f566ba2040d6092f,337524314_613596079_6ed821d99cf339f3,heads,superpoint,0.686046511627907,59.0
330477144,335935552,330477144,335935552,330477144_599273037_e7d67466a421f9dc,335935552_610374867_70a31976690e67d2,heads,superpoint,0.686046511627907,59.0
326931785,337524309,326931785,337524309,326931785_592202951_3fe208a637f2ed54,337524309_613596051_b449c0af446056d9,heads,disk,0.6842105263157895,65.0
335332228,335935566,335332228,335935566,335332228_609158341_0d13091de33cde66,335935566_610375023_7d9e62ca36c16152,heads,disk,0.6842105263157895,65.0
330477144,335935581,330477144,335935581,330477144_599273037_e7d67466a421f9dc,335935581_610375390_eedfff3b7ddd51cb,heads,superpoint,0.6744186046511628,58.0
333572353,335332228,333572353,335332228,333572353_605624659_5fe9a230d2d4d8db,335332228_609158341_0d13091de33cde66,heads,disk,0.6736842105263158,64.0
337429974,337524315,337429974,337524315,337429974_613396071_032530f4b3567244,337524315_613596099_0c644d04364b2bc2,heads,disk,0.6631578947368421,63.0
325746510,330463431,325746510,330463431,325746510_589834403_6c7055ec8e788f29,330463431_599247463_3799f2f8ceb815cf,heads,disk,0.6631578947368421,63.0
328448947,328755818,328448947,328755818,328448947_595171249_e3a348a1c4c6207a,328755818_595795414_53e6c27088017b5d,heads,superpoint,0.6627906976744186,57.0
325746516,330477144,325746516,330477144,325746516_589836240_c810eaa2e5364b84,330477144_599273037_e7d67466a421f9dc,heads,aliked,0.6595744680851063,62.0
330477158,335332234,330477158,335332234,330477158_599274435_24fb3673a2c620d0,335332234_609158533_eeefe51184dc1259,heads,disk,0.6526315789473685,62.0
335935567,337429978,335935567,337429978,335935567_610375033_ebfab45c87af6704,337429978_613396133_6b4028fe27a93490,heads,disk,0.6526315789473685,62.0
328755827,330433249,328755827,330433249,328755827_595796143_e1da9e9b17e818a0,330433249_599185071_930e3aac6c1f217c,heads,disk,0.6526315789473685,62.0
326931769,330477144,326931769,330477144,326931769_592202851_76ef3b1a89cf45a2,330477144_599272757_a7e3ace956c02a92,heads,superpoint,0.6511627906976745,56.0
325746516,335332240,325746516,335332240,325746516_589836058_d1be8283e5c44590,335332240_609158690_5b217b674e85c83f,heads,aliked,0.648936170212766,61.0
328448953,330477174,328448953,330477174,328448953_595171293_1035ab437372f91a,330477174_599275451_c986d6cba98b5546,heads,aliked,0.648936170212766,61.0
321559873,328448962,321559873,328448962,321559873_581562729_aab4244044730838,328448962_595171357_6cef2fbbdf0b33a3,heads,aliked,0.648936170212766,61.0
335935569,337524309,335935569,337524309,335935569_610375052_1034eecf593d16ca,337524309_613596053_a1f2d869d89c454f,heads,disk,0.6421052631578947,61.0
328755880,330477163,328755880,330477163,328755880_595797579_0b6a79b84b2bb901,330477163_599274884_cd795f38114fa2b2,heads,disk,0.6421052631578947,61.0
335332229,337524310,335332229,337524310,335332229_609158358_c11e1ff713f575fb,337524310_613596059_e7a7c48d66bae94a,heads,superpoint,0.6395348837209303,55.0
